tick,harvested
0,1079932
32770,223440
5,1079043
32775,223440
10,1077647
32780,223440
15,1077128
32785,223440
20,1076078
32790,223024
25,1074339
32795,223024
30,1073822
32800,223024
35,1073246
32805,223024
40,1072807
32810,223024
45,1071409
32815,223024
50,1069893
32820,223024
55,1069591
32825,223024
60,1068050
32830,223024
65,1067744
32835,223024
70,1066664
32840,223024
75,1061805
32845,223024
80,1060876
32850,223024
85,1060193
32855,222592
90,1058299
32860,222592
95,1057586
32865,222592
100,1055692
32870,222592
105,1055119
32875,222592
110,1051899
32880,222592
115,1050210
32885,222592
120,1049435
32890,222592
125,1048769
32895,222592
130,1046491
32900,222592
135,1047144
32905,222592
140,1044207
32910,222592
145,1043807
32915,222176
150,1041443
32920,222176
155,1040027
32925,222176
160,1037873
32930,222176
165,1039105
32935,222176
170,1033415
32940,222176
175,1031908
32945,222176
180,1031933
32950,222176
185,1031268
32955,222176
190,1029045
32960,222176
195,1021780
32965,222176
200,1023175
32970,222176
205,1022377
32975,222176
210,1017546
32980,221744
215,1023026
32985,221744
220,1022828
32990,221744
225,1020248
32995,221744
230,1019532
33000,221744
235,1016587
33005,221744
240,1015797
33010,221744
245,1015764
33015,221744
250,1013531
33020,221744
255,1011773
33025,221744
260,1011874
33030,221744
265,1009077
33035,221744
270,1010473
33040,221744
275,1009245
33045,221328
280,1010497
33050,221328
285,1008506
33055,221328
290,1008308
33060,221328
295,1004542
33065,221328
300,1001350
33070,221328
305,998087
33075,221328
310,998612
33080,221328
315,982672
33085,221328
320,999159
33090,221328
325,992717
33095,221328
330,990458
33100,221328
335,990601
33105,220896
340,982890
33110,220896
345,986893
33115,220896
350,984904
33120,220896
355,976234
33125,220896
360,983715
33130,220896
365,984555
33135,220896
370,975991
33140,220896
375,975598
33145,220896
380,978938
33150,220896
385,978233
33155,220896
390,955386
33160,220896
395,976313
33165,220896
400,973803
33170,220480
405,978343
33175,220480
410,960604
33180,220480
415,977867
33185,220480
420,972490
33190,220480
425,976327
33195,220480
430,964717
33200,220480
435,970237
33205,220480
440,973016
33210,220480
445,974236
33215,220480
450,972282
33220,220480
455,949952
33225,220480
460,966720
33230,220480
465,968958
33235,220048
470,967298
33240,220048
475,964356
33245,220048
480,955978
33250,220048
485,957985
33255,220048
490,959107
33260,220048
495,959625
33265,220048
500,959645
33270,220048
505,959822
33275,220048
510,949097
33280,220048
515,946796
33285,220048
520,945652
33290,220048
525,945860
33295,219632
530,945634
33300,219632
535,943466
33305,219632
540,941647
33310,219632
545,929541
33315,219632
550,933594
33320,219632
555,932980
33325,219632
560,932821
33330,219632
565,927918
33335,219632
570,933533
33340,219632
575,930593
33345,219632
580,926006
33350,219632
585,908068
33355,219632
590,917469
33360,219200
595,918520
33365,219200
600,918088
33370,219200
605,918597
33375,219200
610,918276
33380,219200
615,916931
33385,219200
620,917611
33390,219200
625,915881
33395,219200
630,900792
33400,219200
635,907915
33405,219200
640,905747
33410,219200
645,908447
33415,219200
650,907974
33420,219200
655,903899
33425,218784
660,906738
33430,218784
665,905421
33435,218784
670,905494
33440,218784
675,903313
33445,218784
680,898194
33450,218784
685,893846
33455,218784
690,897889
33460,218784
695,900821
33465,218784
700,903310
33470,218784
705,905749
33475,218784
710,906995
33480,218784
715,909496
33485,218784
720,910132
33490,218352
725,911771
33495,218352
730,912751
33500,218352
735,912831
33505,218352
740,913128
33510,218352
745,904622
33515,218352
750,909060
33520,218352
755,912389
33525,218352
760,915662
33530,218352
765,917738
33535,218352
770,922389
33540,218352
775,922925
33545,218352
780,923543
33550,218352
785,928022
33555,217936
790,930208
33560,217936
795,933162
33565,217936
800,934864
33570,217936
805,936161
33575,217936
810,938148
33580,217936
815,936920
33585,217936
820,931534
33590,217936
825,931533
33595,217936
830,932219
33600,217936
835,932985
33605,217936
840,934330
33610,217936
845,937583
33615,217936
850,940136
33620,217504
855,941278
33625,217504
860,943407
33630,217504
865,944539
33635,217504
870,946177
33640,217504
875,947305
33645,217504
880,947691
33650,217504
885,947977
33655,217504
890,948894
33660,217504
895,949488
33665,217504
900,949625
33670,217504
905,948893
33675,217504
910,945142
33680,217504
915,940716
33685,217088
920,937866
33690,217088
925,935491
33695,217088
930,934298
33700,217088
935,933534
33705,217088
940,931247
33710,217088
945,929867
33715,217088
950,931721
33720,217088
955,930136
33725,217088
960,929528
33730,217088
965,928486
33735,217088
970,929069
33740,217088
975,927716
33745,217088
980,927699
33750,217088
985,926020
33755,216656
990,927221
33760,216656
995,925133
33765,216656
1000,923781
33770,216656
1005,922919
33775,216656
1010,922804
33780,216656
1015,920698
33785,216656
1020,919508
33790,216656
1025,917814
33795,216656
1030,912728
33800,216656
1035,908844
33805,216656
1040,906688
33810,216656
1045,902912
33815,216656
1050,899681
33820,216240
1055,898596
33825,216240
1060,897118
33830,216240
1065,894176
33835,216240
1070,890267
33840,216240
1075,892283
33845,216240
1080,891501
33850,216240
1085,889950
33855,216240
1090,887499
33860,216240
1095,887291
33865,216240
1100,887851
33870,216240
1105,887762
33875,216240
1110,887734
33880,216240
1115,883184
33885,215808
1120,883133
33890,215808
1125,883725
33895,215808
1130,883826
33900,215808
1135,882697
33905,215808
1140,881674
33910,215808
1145,881017
33915,215808
1150,881524
33920,215808
1155,880098
33925,215808
1160,879243
33930,215808
1165,878672
33935,215808
1170,879006
33940,215808
1175,874835
33945,215808
1180,871633
33950,215392
1185,868620
33955,215392
1190,866267
33960,215392
1195,864482
33965,215392
1200,862585
33970,215392
1205,860032
33975,215392
1210,858887
33980,215392
1215,857143
33985,215392
1220,854809
33990,215392
1225,853007
33995,215392
1230,849317
34000,215392
1235,851425
34005,215392
1240,850943
34010,215392
1245,850898
34015,215392
1250,851326
34020,214960
1255,851306
34025,214960
1260,848545
34030,214960
1265,851788
34035,214960
1270,853285
34040,214960
1275,852973
34045,214960
1280,853770
34050,214960
1285,855515
34055,214960
1290,853664
34060,214960
1295,851259
34065,214960
1300,854078
34070,214960
1305,855195
34075,214960
1310,855662
34080,214960
1315,856781
34085,214544
1320,856286
34090,214544
1325,857944
34095,214544
1330,857838
34100,214544
1335,858821
34105,214544
1340,859168
34110,214544
1345,858889
34115,214544
1350,858752
34120,214544
1355,858961
34125,214544
1360,858462
34130,214544
1365,858300
34135,214544
1370,857011
34140,214544
1375,855495
34145,214544
1380,854279
34150,214544
1385,853666
34155,214112
1390,853306
34160,214112
1395,853071
34165,214112
1400,851486
34170,214112
1405,849990
34175,214112
1410,849779
34180,214112
1415,849218
34185,214112
1420,848745
34190,214112
1425,849141
34195,214112
1430,848492
34200,214112
1435,847593
34205,214112
1440,846898
34210,214112
1445,844727
34215,214112
1450,847085
34220,213696
1455,849632
34225,213696
1460,849107
34230,213696
1465,849826
34235,213696
1470,849704
34240,213696
1475,850994
34245,213696
1480,851283
34250,213696
1485,850839
34255,213696
1490,849662
34260,213696
1495,853240
34265,213696
1500,855251
34270,213696
1505,855841
34275,213696
1510,857390
34280,213696
1515,858348
34285,213696
1520,860745
34290,213264
1525,862879
34295,213264
1530,863527
34300,213264
1535,860633
34305,213264
1540,864138
34310,213264
1545,865491
34315,213264
1550,865425
34320,213264
1555,867668
34325,213264
1560,865831
34330,213264
1565,868904
34335,213264
1570,869298
34340,213264
1575,868804
34345,213264
1580,870510
34350,213264
1585,869436
34355,212848
1590,870983
34360,212848
1595,872190
34365,212848
1600,873011
34370,212848
1605,872589
34375,212848
1610,872686
34380,212848
1615,872563
34385,212848
1620,871933
34390,212848
1625,871538
34395,212848
1630,870788
34400,212848
1635,869713
34405,212848
1640,869208
34410,212848
1645,869589
34415,212848
1650,869920
34420,212848
1655,870123
34425,212416
1660,870056
34430,212416
1665,870513
34435,212416
1670,870517
34440,212416
1675,870620
34445,212416
1680,871692
34450,212416
1685,870435
34455,212416
1690,870139
34460,212416
1695,869906
34465,212416
1700,870325
34470,212416
1705,869283
34475,212416
1710,869368
34480,212416
1715,869308
34485,212416
1720,869200
34490,212416
1725,870859
34495,212000
1730,869269
34500,212000
1735,868384
34505,212000
1740,867197
34510,212000
1745,865868
34515,212000
1750,864784
34520,212000
1755,862014
34525,212000
1760,863591
34530,212000
1765,864953
34535,212000
1770,866017
34540,212000
1775,864192
34545,212000
1780,864400
34550,212000
1785,863496
34555,212000
1790,862875
34560,212000
1795,862320
34565,211568
1800,862012
34570,211568
1805,861447
34575,211568
1810,860776
34580,211568
1815,860781
34585,211568
1820,861045
34590,211568
1825,859431
34595,211568
1830,858235
34600,211568
1835,857168
34605,211568
1840,856504
34610,211568
1845,855545
34615,211568
1850,854999
34620,211568
1855,854524
34625,211568
1860,852335
34630,211152
1865,852310
34635,211152
1870,852750
34640,211152
1875,852854
34645,211152
1880,851755
34650,211152
1885,849440
34655,211152
1890,846136
34660,211152
1895,847422
34665,211152
1900,848068
34670,211152
1905,846958
34675,211152
1910,846194
34680,211152
1915,846893
34685,211152
1920,846643
34690,211152
1925,845348
34695,211152
1930,844674
34700,210720
1935,844192
34705,210720
1940,841548
34710,210720
1945,842168
34715,210720
1950,839217
34720,210720
1955,839809
34725,210720
1960,838410
34730,210720
1965,835582
34735,210720
1970,835833
34740,210720
1975,834548
34745,210720
1980,833339
34750,210720
1985,832329
34755,210720
1990,830501
34760,210720
1995,828964
34765,210720
2000,827358
34770,210304
2005,825367
34775,210304
2010,823366
34780,210304
2015,821172
34785,210304
2020,819016
34790,210304
2025,816956
34795,210304
2030,814587
34800,210304
2035,812239
34805,210304
2040,809868
34810,210304
2045,807417
34815,210304
2050,806020
34820,210304
2055,806415
34825,210304
2060,806859
34830,210304
2065,807086
34835,210304
2070,807181
34840,209872
2075,807622
34845,209872
2080,807416
34850,209872
2085,807997
34855,209872
2090,808174
34860,209872
2095,808706
34865,209872
2100,808368
34870,209872
2105,808225
34875,209872
2110,808633
34880,209872
2115,809931
34885,209872
2120,809254
34890,209872
2125,809167
34895,209872
2130,809062
34900,209872
2135,808790
34905,209872
2140,808879
34910,209456
2145,809888
34915,209456
2150,809677
34920,209456
2155,810069
34925,209456
2160,810099
34930,209456
2165,810155
34935,209456
2170,810393
34940,209456
2175,810560
34945,209456
2180,811209
34950,209456
2185,812568
34955,209456
2190,812089
34960,209456
2195,812279
34965,209456
2200,812417
34970,209456
2205,812435
34975,209456
2210,812193
34980,209024
2215,812015
34985,209024
2220,811798
34990,209024
2225,812056
34995,209024
2230,811730
35000,209024
2235,811484
35005,209024
2240,812406
35010,209024
2245,813239
35015,209024
2250,814222
35020,209024
2255,815009
35025,209024
2260,816320
35030,209024
2265,815305
35035,209024
2270,815536
35040,209024
2275,815811
35045,209024
2280,816051
35050,209024
2285,815907
35055,208608
2290,816376
35060,208608
2295,816966
35065,208608
2300,816984
35070,208608
2305,817025
35075,208608
2310,818389
35080,208608
2315,818236
35085,208608
2320,818347
35090,208608
2325,818489
35095,208608
2330,818785
35100,208608
2335,819026
35105,208608
2340,819284
35110,208608
2345,819587
35115,208608
2350,819959
35120,208608
2355,820244
35125,208176
2360,820569
35130,208176
2365,821144
35135,208176
2370,821802
35140,208176
2375,821748
35145,208176
2380,822075
35150,208176
2385,822591
35155,208176
2390,823139
35160,208176
2395,823619
35165,208176
2400,824095
35170,208176
2405,824794
35175,208176
2410,825476
35180,208176
2415,826309
35185,208176
2420,827123
35190,208176
2425,828457
35195,207760
2430,830109
35200,207760
2435,831738
35205,207760
2440,832204
35210,207760
2445,832560
35215,207760
2450,832936
35220,207760
2455,832839
35225,207760
2460,833843
35230,207760
2465,835808
35235,207760
2470,837418
35240,207760
2475,838587
35245,207760
2480,839988
35250,207760
2485,841294
35255,207760
2490,842678
35260,207760
2495,843914
35265,207760
2500,845714
35270,207328
2505,847396
35275,207328
2510,848429
35280,207328
2515,849393
35285,207328
2520,849794
35290,207328
2525,851638
35295,207328
2530,853278
35300,207328
2535,855163
35305,207328
2540,855431
35310,207328
2545,856802
35315,207328
2550,858950
35320,207328
2555,858840
35325,207328
2560,860989
35330,207328
2565,860390
35335,207328
2570,862332
35340,206912
2575,862044
35345,206912
2580,862703
35350,206912
2585,860730
35355,206912
2590,862027
35360,206912
2595,863646
35365,206912
2600,864037
35370,206912
2605,863173
35375,206912
2610,863836
35380,206912
2615,864025
35385,206912
2620,864599
35390,206912
2625,864661
35395,206912
2630,864065
35400,206912
2635,863450
35405,206912
2640,864103
35410,206480
2645,863946
35415,206480
2650,863439
35420,206480
2655,862935
35425,206480
2660,862382
35430,206480
2665,861785
35435,206480
2670,861085
35440,206480
2675,860070
35445,206480
2680,859406
35450,206480
2685,858607
35455,206480
2690,857640
35460,206480
2695,856600
35465,206480
2700,855644
35470,206480
2705,854561
35475,206480
2710,853391
35480,206480
2715,852268
35485,206064
2720,850915
35490,206064
2725,849966
35495,206064
2730,848575
35500,206064
2735,847976
35505,206064
2740,847129
35510,206064
2745,846370
35515,206064
2750,845474
35520,206064
2755,844645
35525,206064
2760,843738
35530,206064
2765,842887
35535,206064
2770,842102
35540,206064
2775,841056
35545,206064
2780,840244
35550,206064
2785,839481
35555,206064
2790,838289
35560,205632
2795,837382
35565,205632
2800,836602
35570,205632
2805,835556
35575,205632
2810,834469
35580,205632
2815,834355
35585,205632
2820,832730
35590,205632
2825,831855
35595,205632
2830,831059
35600,205632
2835,829313
35605,205632
2840,828474
35610,205632
2845,828198
35615,205632
2850,828548
35620,205632
2855,825769
35625,205632
2860,824911
35630,205216
2865,824163
35635,205216
2870,822916
35640,205216
2875,821321
35645,205216
2880,820352
35650,205216
2885,819295
35655,205216
2890,817640
35660,205216
2895,816602
35665,205216
2900,815820
35670,205216
2905,815734
35675,205216
2910,814456
35680,205216
2915,812995
35685,205216
2920,812252
35690,205216
2925,811661
35695,205216
2930,810058
35700,205216
2935,808816
35705,204784
2940,807009
35710,204784
2945,805857
35715,204784
2950,804869
35720,204784
2955,803721
35725,204784
2960,802258
35730,204784
2965,802039
35735,204784
2970,801463
35740,204784
2975,801451
35745,204784
2980,801031
35750,204784
2985,799188
35755,204784
2990,797475
35760,204784
2995,796330
35765,204784
3000,794919
35770,204784
3005,793867
35775,204784
3010,793349
35780,204368
3015,792789
35785,204368
3020,791894
35790,204368
3025,790173
35795,204368
3030,788713
35800,204368
3035,786673
35805,204368
3040,786499
35810,204368
3045,785676
35815,204368
3050,785163
35820,204368
3055,784351
35825,204368
3060,783510
35830,204368
3065,782761
35835,204368
3070,782472
35840,204368
3075,781458
35845,204368
3080,780052
35850,204368
3085,778738
35855,203936
3090,777588
35860,203936
